t,pred,prey,prey2,grass,grass2
7840,17,84,86,72,64
7850,17,82,84,72,63
7860,17,83,83,72,65
7870,17,82,83,71,57
7880,17,83,82,75,61
7890,17,81,82,71,58
7900,18,76,82,76,60
7910,18,77,82,71,62
7920,18,74,81,69,64
7930,18,70,79,68,62
7940,18,69,80,70,57
7950,18,67,81,67,59
7960,18,65,81,71,60
7970,19,65,82,69,57
7980,20,62,81,66,60
7990,20,63,79,66,60
8000,20,62,77,72,63
8010,22,62,77,75,60
8020,22,62,77,73,63
8030,22,61,74,76,58
8040,23,62,72,73,63
8050,24,59,73,75,59
8060,24,59,72,79,61
8070,24,58,72,77,61
8080,24,59,71,76,62
8090,25,55,72,71,65
8100,27,56,74,69,63
8110,27,57,72,68,56
8120,28,58,71,68,59
8130,28,59,70,69,58
8140,28,58,70,77,61
8150,27,54,69,83,61
8160,27,52,69,78,65
8170,27,52,67,79,69
8180,27,52,65,82,69
8190,27,52,64,82,68
8200,27,51,63,86,72
8210,28,50,63,90,74
8220,28,52,61,87,75
8230,28,52,60,87,69
8240,27,52,55,86,70
8250,27,49,54,92,68
8260,27,49,52,95,74
8270,27,49,54,98,73
8280,27,49,55,102,75
8290,26,48,55,105,77
8300,26,50,54,102,76
8310,26,49,50,110,72
8320,26,51,47,106,65
8330,26,47,44,102,64
8340,26,48,42,103,62
8350,26,49,42,97,61
8360,27,49,41,94,65
8370,27,49,42,92,68
8380,27,48,41,93,76
8390,27,47,40,94,81
8400,28,45,40,94,84
8410,28,46,38,95,83
8420,29,45,36,99,86
8430,29,46,35,104,81
8440,30,46,34,103,85
8450,30,45,34,106,90
8460,30,43,32,106,90
8470,30,39,33,104,92
8480,30,35,32,107,96
8490,29,36,31,102,99
8500,29,35,31,104,98
8510,30,36,32,106,99
8520,30,35,34,112,96
8530,31,35,34,114,96
8540,31,34,33,119,94
8550,30,34,30,123,94
8560,30,34,30,121,94
8570,31,32,30,121,93
8580,31,32,29,121,92
8590,31,35,28,123,93
8600,32,36,29,123,92
